Artist_Albums_Number,Artist_Albums_Tracks_Number,Artist_Appearances_Number,Artist_Appearances_Tracks_Number,Artist_Compilations_Number,Artist_Compilations_Tracks_Number,Artist_Follower,Artist_ID,Artist_Popularity,Artist_Singles_Number,Artist_Singles_Tracks_Number,Genre,Release_Date,Streams,Track_Artist,Track_Duration_ms,Track_ID,Track_Popularity,Track_Title,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,commentCount,dislikeCount,likeCount,video_ID,viewsCount,Charts
3,58,25,645,0,0,621854,1MIVXf74SZHmTIp4V4paH4,81,39,66,Pop,2019-01-18,43688287,Mabel,178480,5WHTFyqSii0lmT9R21abT8,82,Don't Call Me Up,"0,296","0,674","0,881","0,00000301",9,"0,0793","-2,853",1,"0,147","98,994",4,"0,234",27590,48223,1533271,9TQKyDD9Yig,189621748,1
3,52,52,1053,0,0,477629,20gsENnposVs2I4rQ5kvrf,81,64,88,Pop,2019-11-01,557076,Sam Feldt,183902,5iZ3pb0ZqlLJyFIcNUh683,43,Winter Wonderland,"0,247","0,411","0,863",0,9,"0,025","-5,406",1,"0,102","119,276",4,"0,387",386,136,8713,EVVOwY3g-UY,657812,1
9,133,119,1975,6,147,7034928,26dSoYclwsYLMAKD3tpOr4,82,29,106,Pop,2019-11-13,3641664,Britney Spears,257026,6id0KJ3XgvJLSzyMtHBj67,27,My Only Wish (This Year),"0,175","0,666","0,824",0,0,"0,205","-4,743",1,"0,0267","147,069",4,"0,698",4343,4424,62522,wrvebqA8xdM,43511722,1
13,230,305,1398,2,19,22742618,04gDigrS5kc9YWfZHwBETP,92,38,51,Pop,2018-06-15,1263479,Maroon 5,235545,7fa9MBXhVfQ8P8Df9OEbD8,78,Girls Like You (feat. Cardi B),"0,568","0,851","0,541",0,0,"0,13","-6,825",1,"0,0505","124,959",4,"0,448",590834,669626,16009501,aJOTlE1K90k,2598870760,1
6,116,30,840,0,0,1415022,7qXzy6c5RWT0XlVQcOBIDG,70,30,47,Pop,2019-09-13,10609248,Mark Forster,220893,6kga9ZYARzHBprnLOENrMQ,68,194 Länder - Single Version,"0,352","0,787","0,818",0,6,"0,13","-4,961",1,"0,157","105,026",4,"0,626",6291,7360,192780,7bczvKRhycA,24145362,1
9,125,99,2366,0,0,9059118,20JZFwl6HVl6yg8a4H3ZqK,87,22,33,Pop,2018-06-22,22286973,Panic! At The Disco,190946,1rqqCSm0Qe4I9rUvWncaom,84,High Hopes,"0,193","0,579","0,904",0,5,"0,064","-2,729",1,"0,0618","82,014",4,"0,681",170090,109300,4016991,IPXIgEAGe4U,434477306,1
12,161,372,1319,1,31,33340962,1uNFoZAHBGtllmzznpCI3s,99,25,56,Pop,2020-02-07,1384841,Justin Bieber,212868,364dI1bYnvamSnBJ8JcNzN,92,Intentions,"0,317","0,811","0,553",0,9,"0,105","-6,644",1,"0,0552","148,014",4,"0,86",1473,297,30979,TYVvtWLk8xw,281241,1
17,226,74,1407,1,8,3664237,1GxkXlMwML1oSg5eLPiAz3,81,15,50,Pop,2011-10-14,166344,Michael Bublé,227520,6B14wYcEpWhyDvxWRb9Df8,40,Silent Night,"0,959","0,239","0,124","0,0237",7,"0,103","-14,542",1,"0,0308","80,986",3,"0,113",335,496,11385,-iZGh91-v7Y,6739358,1
6,83,113,1359,2,35,19642996,0C8ZW7ezQVs4URX5aX7Kqx,92,34,54,Pop,2020-02-21,520970,Selena Gomez,226002,6XXYdF6pJR1K3wKvuxmu7n,84,Feel Me,"0,44","0,71","0,808","0,000773",2,"0,0734","-6,703",0,"0,0433","99,989",4,"0,392",17057,2831,359035,4Th0EwFmkLA,5137164,1
3,32,33,607,0,0,15568996,69GGBxA162lTqCwzJG5jLp,90,58,145,Pop,2019-11-08,101533,The Chainsmokers,181844,2a3dopgTF1q4rMVDJ1rwBU,49,Push My Luck,"0,288","0,584","0,643",0,2,"0,186","-6,415",1,"0,0395","90,036",4,"0,53",5094,3324,174803,HcYo_92vdbE,6219048,1
9,133,14,338,0,0,5819841,5Rl15oVamLq7FbSb0NNBNy,87,37,81,Pop,2019-08-23,5653146,5 Seconds of Summer,204887,26wLOs3ZuHJa2Ihhx6QIE6,75,Teeth,"0,0516","0,749","0,461","0,00000624",10,"0,0738","-2,961",0,"0,0416","139,02",4,"0,42",30512,12970,950087,JWeJHN5P-E8,38984975,1
5,98,225,1398,0,0,7616843,0X2BH1fck6amBIoJhDVmmJ,85,29,50,Pop,2017-12-08,330093,Ellie Goulding,194727,0dKBg0sPcfOFXFxSs23Xz5,44,O Holy Night,"0,937","0,268","0,206","0,00000406",10,"0,103","-9,907",1,"0,0314","103,425",3,"0,206",27,22,1053,6OPQmn75y3I,80253,1
42,675,239,2002,8,175,154300,4cPHsZM98sKzmV26wlwD2W,62,2,2,Pop,1991-09-13,727145,Brenda Lee,126146,09OojFvtrM9YRzRjnXqJjA,54,Rockin' Around the Christmas Tree,"0,568","0,682","0,641",0,8,"0,224","-8,915",1,"0,0386","141,002",4,"0,826",1838,1525,46374,is4NQkUN3AI,7201384,1
0,0,14,566,0,0,385908,3EOEK57CV77D4ovYVcmiyt,74,17,27,Pop,2019-02-15,19091437,Dennis Lloyd,175424,2QrXzOqLCVDRZHkToA0tSR,71,Never Go Back,"0,0135","0,421","0,653",0,9,"0,114","-4,85",0,"0,398","78,6",4,"0,733",2148,2444,211613,lhGl9D514Bc,11427989,1
41,634,109,2018,11,206,259580,4sj6D0zlMOl25nprDJBiU9,66,1,1,Pop,1963,2435620,Andy Williams,151000,1IcR6RlgvDczfvoWJSSY2A,41,It's the Most Wonderful Time of the Year,"0,871","0,234","0,526","0,00000234",2,"0,122","-11,656",1,"0,0411","201,739",3,"0,649",8142,3719,87949,gFtb3EtjEic,34771011,1
1,13,3,76,0,0,546720,5KNNVgR6LBIABRIomyCwKJ,79,15,39,Pop,2019-10-04,12249518,Dermot Kennedy,245699,4Ta3PhWmY50ZLU1uhKFKPE,69,Outnumbered,"0,247","0,614","0,684",0,0,"0,0976","-5,79",1,"0,157","156,85",4,"0,258",4543,4271,182933,A48hOToMuRE,20928339,1
0,0,8,77,0,0,8894,7jkdo74SDT1PYu6Ksbusxa,62,10,10,Pop,2020-01-31,1286789,Edin,160053,1o4llEQ3Fe7slQPCt0nxGL,65,Dynamit,"0,0316","0,462","0,573",0,8,"0,182","-5,984",1,"0,0865","102,011",4,"0,706",378,677,11872,rDmzLsVD-3Q,734602,1
3,54,166,1114,0,0,21906802,1i8SpTcr7yvPOmcqrbnVXY,96,74,54,Pop,2019-01-05,5203706,Ozuna,158400,7uH27oIt4a6cIFCA8ZPcyG,47,Baila Baila Baila,"0,0361","0,816","0,754",0,11,"0,217","-2,75",0,"0,111","99,966",4,"0,533",28761,55049,1327353,32F2d-wj4Xw,175593319,1
8,128,219,1376,1,20,9487764,5Pwc4xIPtQLFEnJriah9YJ,85,37,54,Pop,2011-01-01,321191,OneRepublic,197146,4gWpUjTbcwASiRVkJM319B,43,Christmas Without You,"0,447","0,262","0,676",0,7,"0,205","-5,645",1,"0,0527","207,485",3,"0,364",112,58,2452,EUr4q17ZHsk,465947,1
3,36,39,2313,0,0,1491767,7z5WFjZAIYejWy0NI5lv4T,84,21,30,Pop,2019-10-04,6204821,Dan + Shay,167693,2wrJq5XKLnmhRXHIAf9xBa,89,"10,000 Hours (with Justin Bieber)","0,153","0,654","0,63",0,10,"0,111","-4,644",1,"0,0259","89,991",4,"0,43",56080,82984,2082417,Y2E71oe0aSM,126911080,1
2,35,14,202,0,0,624846,7z2avKuuiMAT4XZJFv8Rvh,77,50,79,Pop,2019-03-01,4277066,Tom Walker,174982,03x2rVJRFUrvwlfxoHd9Mo,67,Just You and I,"0,456","0,567","0,696",0,9,"0,113","-5,416",1,"0,301","92,061",4,"0,544",3833,7662,379903,fS0SyW980YI,42914302,1
5,51,502,1552,0,0,16994280,1vCWHaC5f2uS3yhpwWbIA6,88,61,141,Pop,2019-04-10,14452370,Avicii,157202,6nDKrPlXdpomGBgAlO7UdP,26,SOS,"0,272","0,802","0,645",0,5,"0,119","-6,181",0,"0,0715","100,001",4,"0,376",77338,14402,1126233,u8tdT5pAE34,87272070,1
3,33,12,266,0,0,202177,5pDjmC5mRl7vDJhsjVwNfk,75,23,27,Pop,2019-07-19,7962975,Freya Ridings,211842,5tZWtGT65sMrDVPB5H444n,74,Castles,"0,0046","0,672","0,752","0,00047",4,"0,056","-4,866",1,"0,0843","116,945",4,"0,429",3793,3509,120820,H-3rxh8kZHE,18251514,1
1,12,0,0,0,0,74008,2TiXt00aPsggbxZxL1RaG7,64,4,4,Pop,2019-10-10,288811,KUMMER,118871,4NPVQkAy98MQNfFkVCI8On,53,Nicht die Musik,"0,00628","0,649","0,714",0,1,"0,0856","-5,766",1,"0,134","192,035",4,"0,274",1205,829,29608,aJp9rVqXsb0,1067767,1
1,12,0,0,0,0,1281806,5IH6FPUwQTxPSXurCrcIov,83,7,11,Pop,2018-11-16,24733321,Alec Benjamin,169353,2qxmye6gAegTMjLKEBoR3d,84,Let Me Down Slowly,"0,74","0,652","0,557",0,1,"0,124","-5,714",0,"0,0318","150,073",4,"0,483",41880,23880,2000041,50VNCymT-Cs,116592387,1
10,145,73,2785,3,65,1206948,6Ff53KvcvAj5U7Z1vojB5o,74,1,4,Pop,1998,1354320,*NSYNC,252906,2il7ZxLzVhPxMHNidnsa3I,44,"Merry Christmas, Happy Holidays","0,0999","0,655","0,942",0,5,"0,878","-3,984",1,"0,0481","105,007",4,"0,764",3058,2174,40751,wKj92352UAE,11842861,1
4,65,50,1664,0,0,8692184,6JL8zeS1NmiOftqZTRgdTz,83,34,64,Pop,2015-01-09,2411786,Meghan Trainor,219653,0lTurWECr2XL607eJAj1A3,53,I'll Be Home,"0,318","0,462","0,37","0,00000484",2,"0,108","-7,779",1,"0,0267","84,738",4,"0,285",3306,2817,83676,2P8RU_dHyi4,14032387,1
0,0,4,69,0,0,307385,4qIVPF0s71ZYW3qzhu5GkF,81,11,15,Pop,2018-10-08,1134787,Kina,179080,4ZLzoOkj0MPWrTLvooIuaa,86,Get You The Moon (feat. Snøw),"0,72","0,498","0,235",0,1,"0,144","-16,541",0,"0,188","118,917",4,"0,0895",44919,18467,2184389,WTsmIbNku5g,133276459,1
0,0,1,1,0,0,29221,5Cj0xJrG2k8TPOJQ1vdAmZ,61,15,15,Pop,2020-01-22,1198970,Tayna,195250,4kZa1KQIYhpOtnvcIg66UE,67,Edhe ti,"0,165","0,794","0,746",0,8,"0,126","-3,522",0,"0,314","99,846",4,"0,725",19867,15747,217250,zVvGZNM0fCA,18873612,1
0,0,30,1274,0,0,45607,4ofCBoyEiGSePFAG500xev,81,14,14,Pop,2019-07-26,40196182,Regard,157605,2tnVG71enUj33Ic2nFN6kZ,91,Ride It,"0,177","0,88","0,751","0,0000643",7,"0,106","-4,258",0,"0,0874","117,948",4,"0,884",8220,10969,478770,ucVUEmjKsko,47160290,1
1,25,114,2590,0,0,15588195,6M2wZ9GZgrQXHCFfjv46we,94,37,91,Pop,2020-01-30,3114033,Dua Lipa,193829,5px6upUHM3fhOP621Edp4V,90,Physical,"0,0137","0,647","0,844","0,000658",0,"0,102","-3,756",1,"0,0457","146,962",4,"0,746",29145,19778,957363,9HDEHj2yzew,41047320,1
6,99,19,441,0,0,430035,5slpk6nu2IwwKx0EHe3GcL,68,19,35,Pop,2019-04-05,3921313,Lena,194569,6dcWHkIgaklSNeT8tQRfpS,43,thank you,"0,314","0,802","0,712","0,000263",9,"0,0715","-4,833",1,"0,0484","112,017",4,"0,58",4609,3117,92672,Y1J41MQh3Ss,4446970,1
8,125,16,175,0,0,487844,224CDJhbm230iSo9ZomTWe,63,18,27,Pop,2019-09-27,2652350,Max Giesinger,209966,7hrPCnodGyujkPusquA8fS,57,"Auf das, was da noch kommt","0,0879","0,661","0,862","0,00000174",6,"0,117","-4,658",0,"0,0699","119,831",4,"0,659",1070,1383,38761,fFqmzYwM1IQ,3748831,1
5,75,21,359,0,0,9743147,26VFTg2z8YR0cCuwLzESi2,94,28,50,Pop,2019-05-17,1928242,Halsey,231998,340UVheS8z3ncW9TTUhAbc,75,Nightmare,"0,0188","0,611","0,622",0,9,"0,359","-5,075",0,"0,0734","146,11",4,"0,538",87245,77023,1975146,Q_dqfcvTZik,86301577,1
0,0,0,0,0,0,1881,3Xe69Zmna6TRo8hr5tyoVS,52,1,1,Pop,2019-11-10,3121558,Freschta Akbarzada,180436,1k2vj1GmBJz5O0Yvm48crP,63,Meine 3 Minuten - From The Voice Of Germany,"0,152","0,595","0,69",0,1,"0,346","-3,803",1,"0,116","169,728",4,"0,43",3066,1593,70738,Cf91ha3f20k,4392598,1
1,14,18,421,0,0,21832072,6qqNVTkY8uBg9cP3Jd7DAH,99,17,31,Pop,2019-03-29,3628939,Billie Eilish,168839,6IRdLKIyS4p7XNiP8r6rsx,85,all the good girls go to hell,"0,283","0,726","0,444","0,143",8,"0,177","-8,922",0,"0,372","185,044",4,"0,569",278412,287001,4400640,-PZsSWwc9xA,117405850,1
14,364,34,1664,3,63,75267,0wi4yTYlGtEnbGo4ltZTib,58,1,1,Pop,1991,8715929,Shakin' Stevens,220160,4rRIovg4TvxLUiUrpGI6lE,15,Merry Christmas Everyone,"0,129","0,534","0,905",0,9,"0,128","-3,315",1,"0,0369","202,899",4,"0,961",15971,13653,223205,ZeyHl1tQeaQ,90284459,1
